Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Nacionality,Age at enrollment,Previous qualification (grade),Admission grade,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Approval_Rate_Sem1,Approval_Rate_Sem2,Grade_Drop,Total_Units_Failed,Total_Units_Approved,Avg_Grade,Approval_Rate_Trend,Financial_Risk_Score,Scholarship_Debtor,Total_Evaluations,Enrollment_Drop,Mature_Student
1,0,0,1,1,0,0,0,8,0,18,22,29,43,0,22,130.0,124.8,0,5,9,0,0.0,0,0,5,5,1,12.0,0,7.6,2.6,0.32,0.0,0.2,-12.0,9,1,6.0,0.2,0,0,14,0,0
0,0,0,1,0,0,0,0,15,0,18,22,26,40,0,19,129.0,138.1,0,6,8,6,12.0,0,0,6,10,4,11.5,0,7.6,2.6,0.32,1.0,0.6666666666666666,0.5,2,10,11.75,-0.33333333333333337,0,0,18,0,0
0,0,0,0,0,0,0,9,16,0,17,22,29,43,0,38,140.0,120.0,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,1.0,0.4,-0.40000000000000036,3,7,10.8,-0.6,1,0,15,0,1
0,1,0,1,0,0,0,4,13,0,6,7,25,38,0,19,129.0,129.4,0,6,7,5,11.2,0,0,6,10,5,13.125,0,10.8,1.4,1.74,0.8333333333333334,0.8333333333333334,-1.9250000000000007,2,10,12.1625,0.0,0,0,17,0,0
0,0,0,1,1,0,0,0,5,0,0,0,24,42,0,18,138.0,128.7,0,6,7,6,14.66666667,0,0,6,12,6,13.83333333,0,8.9,1.4,3.51,1.0,1.0,0.8333333399999994,0,12,14.25,0.0,0,0,19,0,0
1,0,1,1,0,0,0,17,6,10,20,15,22,41,0,30,180.0,180.0,0,5,6,4,14.5,0,0,5,10,3,16.2,0,13.9,-0.3,0.79,0.8,0.6,-1.6999999999999993,3,7,15.35,-0.20000000000000007,1,0,16,0,1
0,0,0,1,1,0,0,0,14,0,14,12,0,40,0,18,159.0,160.1,0,6,6,6,15.16666667,0,0,6,7,6,14.85714286,0,7.6,2.6,0.32,1.0,1.0,0.30952380999999995,0,12,15.011904765,0.0,0,0,13,0,0
1,0,1,0,0,1,0,0,9,0,0,23,24,40,0,19,135.0,122.1,0,6,6,4,11.5,0,0,6,6,5,11.0,0,8.9,1.4,3.51,0.6666666666666666,0.8333333333333334,0.5,3,9,11.25,0.16666666666666674,2,0,12,0,0
0,1,1,1,0,0,0,9,3,0,17,22,23,42,0,30,133.1,130.0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,0.0,0.0,0.0,12,0,0.0,0.0,1,1,12,0,1
0,0,0,1,0,0,0,9,16,0,17,22,29,2,0,34,140.0,130.0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,0.0,0.0,0.0,10,0,0.0,0.0,0,0,10,0,1
