Gender,Scholarship holder,Debtor,Tuition fees up to date,Displaced,Educational special needs,International,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Nacionality,Age at enrollment,Previous qualification (grade),Admission grade,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Approval_Rate_Sem1,Approval_Rate_Sem2,Grade_Drop,Total_Units_Failed,Total_Units_Approved,Avg_Grade,Approval_Rate_Trend,Financial_Risk_Score,Scholarship_Debtor,Total_Evaluations,Enrollment_Drop,Mature_Student,Dropout_Binary,Target
1,0,0,1,1,0,0,4,0,0,6,3,25,43,0,20,122.0,127.3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,Dropout
1,0,0,0,1,0,0,2,10,0,0,15,23,37,0,19,160.0,142.5,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,1.0,1.0,0.3333333300000003,0,12,13.833333334999999,0.0,1,0,12,0,0,0,Graduate
1,0,0,0,1,0,0,0,4,0,17,22,29,43,0,19,122.0,124.8,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0.0,0.0,0.0,12,0,0.0,0.0,1,0,0,0,0,1,Dropout
0,0,0,1,1,0,0,4,14,0,18,22,25,37,0,20,122.0,119.6,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,1.0,0.8333333333333334,1.0285714299999995,1,11,12.914285715,-0.16666666666666663,0,0,18,0,0,0,Graduate
0,0,0,1,0,0,0,9,2,0,17,23,29,43,0,45,100.0,141.5,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,0.8333333333333334,1.0,-0.6666666699999997,1,11,12.666666665000001,0.16666666666666663,0,0,15,0,1,0,Graduate
1,0,1,1,0,0,0,9,16,5,17,22,29,41,0,50,133.1,114.8,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,1.0,1.0,0.35714285999999973,0,10,11.67857143,0.0,1,0,27,0,1,0,Graduate
0,1,0,1,1,0,0,0,11,0,6,23,27,2,0,18,142.0,128.4,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,1.0,1.0,-1.045,0,15,13.822500000000002,0.0,0,0,17,-1,0,0,Graduate
1,0,0,0,1,0,0,5,10,0,17,22,29,43,0,22,119.0,113.1,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0.0,0.0,0.0,10,0,0.0,0.0,1,0,10,0,0,1,Dropout
0,1,0,1,0,0,1,0,9,0,0,0,29,43,20,21,137.0,129.3,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,1.0,1.0,-0.26785714000000027,0,12,14.00892857,0.0,0,0,15,0,0,0,Graduate
0,0,1,0,1,0,0,0,9,0,0,7,24,41,0,18,138.0,123.0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0.8333333333333334,0.3333333333333333,-2.0999999999999996,5,7,12.45,-0.5,2,0,23,0,0,1,Dropout
0,0,0,1,1,0,0,0,13,0,18,7,25,41,0,18,139.0,130.6,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,1.0,0.8333333333333334,-1.866666669999999,1,11,13.266666664999999,-0.16666666666666663,0,0,13,0,0,0,Graduate
0,1,0,1,1,0,0,0,11,0,6,23,29,43,0,18,136.0,119.3,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,0.875,0.875,0.0,2,14,13.21428571,0.0,0,0,16,0,0,0,Graduate
0,0,0,1,1,0,0,0,15,0,6,22,24,43,0,19,133.0,130.2,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0.0,0.0,0.0,12,0,0.0,0.0,0,0,6,0,0,1,Dropout
0,1,0,1,1,0,0,15,10,12,0,0,24,41,0,21,110.0,111.8,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,1.0,0.8333333333333334,-0.42857142999999986,1,11,10.785714285000001,-0.16666666666666663,0,0,15,0,0,0,Graduate
0,1,0,1,1,0,0,0,5,0,18,22,25,39,0,18,149.0,137.1,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,0.8,1.0,1.25,1,9,12.625,0.19999999999999996,0,0,12,0,0,0,Graduate
0,0,0,1,1,0,0,0,14,0,6,22,29,37,0,20,127.0,120.7,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0.8333333333333334,0.0,13.2,7,5,6.6,-0.8333333333333334,0,0,13,0,0,1,Dropout
0,0,0,1,1,0,0,5,9,0,6,23,25,42,0,18,137.0,137.4,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,0.16666666666666666,0.3333333333333333,1.0,9,3,11.5,0.16666666666666666,0,0,24,0,0,0,Enrolled
0,0,0,1,1,0,0,4,11,0,6,0,25,38,0,18,135.0,127.3,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,1.0,1.0,-1.2387499999999996,0,15,13.925625,0.0,0,0,16,-1,0,0,Graduate
0,0,0,1,1,0,0,0,7,0,12,7,23,39,0,20,137.0,136.3,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,0.8,0.8,0.25,2,8,12.375,0.0,0,0,16,0,0,0,Graduate
0,0,0,1,1,0,0,0,15,0,6,7,27,41,0,18,140.0,124.6,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,0.8571428571428571,0.8571428571428571,-1.8333333300000003,2,12,12.583333334999999,0.0,0,0,15,0,0,0,Enrolled
0,1,0,1,0,0,0,0,0,0,0,0,29,42,0,21,122.0,120.3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,Graduate
0,0,0,1,1,0,0,5,12,0,0,23,24,41,0,20,127.0,121.8,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,1.0,1.0,0.01249999999999929,0,15,11.43125,0.0,0,0,23,-1,0,0,Enrolled
0,0,0,1,1,0,0,0,11,0,6,7,1,1,0,18,142.0,125.5,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,0.875,0.875,0.0,2,14,12.85714286,0.0,0,0,24,0,0,0,Graduate
0,1,0,1,1,0,0,0,13,0,0,23,24,41,0,19,125.0,114.9,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,1.0,1.0,1.0892857100000004,0,12,12.830357145,0.0,0,0,15,0,0,0,Graduate
0,0,0,1,0,0,0,0,11,0,6,7,23,41,0,19,126.0,123.9,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,0.8571428571428571,0.875,-0.8176190400000003,2,13,13.70547619,0.017857142857142905,0,0,17,-1,0,0,Graduate
0,1,1,1,1,0,0,0,9,0,6,23,29,43,0,18,151.0,157.0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,0.8333333333333334,0.6666666666666666,0.5999999999999996,3,9,11.3,-0.16666666666666674,1,1,20,0,0,0,Enrolled
0,0,0,1,1,0,0,4,9,0,6,23,27,42,0,21,115.0,116.4,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,1.0,1.0,-1.9107142899999996,0,12,12.330357145,0.0,0,0,18,0,0,0,Graduate
0,0,0,1,1,0,0,0,5,0,6,7,23,37,0,18,138.0,131.0,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,1.0,0.8,-0.3333333300000003,1,9,12.833333334999999,-0.19999999999999996,0,0,16,0,0,0,Enrolled
0,0,0,1,1,0,0,0,8,0,6,0,29,43,0,20,135.0,122.1,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,1.0,1.0,-0.3333333300000003,0,10,12.166666665000001,0.0,0,0,12,0,0,0,Graduate
1,0,0,1,1,0,0,4,11,0,12,15,1,2,0,19,127.0,118.8,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,0.8571428571428571,0.8571428571428571,-0.7833333400000004,2,12,13.325,0.0,0,0,16,0,0,0,Enrolled
1,0,0,1,0,0,0,12,3,9,20,31,24,36,0,21,150.0,150.0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,0.8333333333333334,0.8333333333333334,1.2857142899999996,2,10,11.214285714999999,0.0,0,0,32,0,0,0,Enrolled
1,0,0,1,1,0,0,14,4,0,23,15,5,11,0,20,125.0,130.0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,1.0,0.6666666666666666,-0.56666667,2,10,13.116666665,-0.33333333333333337,0,0,16,0,0,0,Graduate
1,0,0,0,0,0,0,0,8,0,0,0,24,40,0,18,143.0,138.8,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,0.6,0.4,-2.1666666699999997,5,5,12.416666665000001,-0.19999999999999996,1,0,17,0,0,0,Enrolled
0,0,0,1,1,0,0,5,2,0,6,0,29,39,0,19,138.0,134.5,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,1.0,1.0,-1.7083333300000003,0,12,13.520833334999999,0.0,0,0,14,0,0,0,Graduate
1,0,0,1,0,0,0,0,16,0,7,22,23,43,0,34,130.0,131.4,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,1.0,1.0,-1.0285714299999995,0,10,12.914285715,0.0,0,0,15,0,1,0,Graduate
1,0,1,0,0,0,0,9,1,0,18,22,29,40,0,37,130.0,102.5,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,0.0,0.14285714285714285,-10.0,13,1,5.0,0.14285714285714285,2,0,14,0,1,1,Dropout
1,0,0,1,1,0,0,9,6,1,14,22,0,0,0,43,133.1,128.8,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,0.0,0.0,0.0,10,0,0.0,0.0,0,0,0,0,1,1,Dropout
