student_index,risk_score,actual_label,rank,feature,shap_value,feature_val,direction
0,0.0188,0,1,Course,0.5358,13.0,risk
0,0.0188,0,2,Admission grade,0.4181,135.9,risk
0,0.0188,0,3,Displaced,0.1617,1.0,risk
1,0.1147,0,1,Approval_Rate_Sem2,0.73,0.4,risk
1,0.1147,0,2,Approval_Rate_Trend,0.3959,-0.4,risk
1,0.1147,0,3,Total_Evaluations,0.1136,20.0,risk
2,0.9265,1,1,Approval_Rate_Sem2,1.2144,0.1667,risk
2,0.9265,1,2,Total_Units_Failed,0.7697,9.0,risk
2,0.9265,1,3,Age at enrollment,0.6996,50.0,risk
3,0.043,0,1,Unemployment rate,0.2749,15.5,risk
3,0.043,0,2,Previous qualification (grade),0.1832,137.0,risk
3,0.043,0,3,Scholarship holder,0.1594,0.0,risk
4,0.9792,1,1,Approval_Rate_Sem2,1.2665,0.0,risk
4,0.9792,1,2,Total_Units_Failed,1.0272,11.0,risk
4,0.9792,1,3,Curricular units 2nd sem (evaluations),0.6013,0.0,risk
5,0.012,0,1,Father's qualification,0.2162,0.0,risk
5,0.012,0,2,Admission grade,0.1932,127.8,risk
5,0.012,0,3,Unemployment rate,0.1269,12.7,risk
6,0.9853,1,1,Approval_Rate_Sem2,1.3836,0.0,risk
6,0.9853,1,2,Total_Units_Failed,0.8516,9.0,risk
6,0.9853,1,3,Curricular units 2nd sem (approved),0.4641,0.0,risk
7,0.5127,1,1,Approval_Rate_Sem2,0.8677,0.0,risk
7,0.5127,1,2,Curricular units 2nd sem (approved),0.4046,0.0,risk
7,0.5127,1,3,Financial_Risk_Score,0.3038,1.0,risk
8,0.0039,0,1,Application mode,0.1133,4.0,risk
8,0.0039,0,2,Curricular units 1st sem (evaluations),0.1119,7.0,risk
8,0.0039,0,3,Displaced,0.1071,1.0,risk
9,0.9987,1,1,Approval_Rate_Sem2,1.4101,0.0,risk
9,0.9987,1,2,Total_Units_Failed,1.1525,15.0,risk
9,0.9987,1,3,Mother's occupation,0.6562,0.0,risk
10,0.9695,1,1,Approval_Rate_Sem2,1.2792,0.0,risk
10,0.9695,1,2,Total_Units_Failed,0.9386,10.0,risk
10,0.9695,1,3,Curricular units 2nd sem (approved),0.3925,0.0,risk
11,0.0113,0,1,Approval_Rate_Trend,0.232,-0.2,risk
11,0.0113,0,2,Father's occupation,0.1667,44.0,risk
11,0.0113,0,3,Mother's qualification,0.1283,1.0,risk
12,0.9922,1,1,Approval_Rate_Sem2,1.3075,0.0,risk
12,0.9922,1,2,Total_Units_Failed,0.8592,7.0,risk
12,0.9922,1,3,Grade_Drop,0.6155,11.3333,risk
13,0.0275,0,1,Father's qualification,0.2183,0.0,risk
13,0.0275,0,2,Admission grade,0.1314,121.1,risk
13,0.0275,0,3,Previous qualification (grade),0.1248,127.0,risk
14,0.1328,0,1,Age at enrollment,0.2797,25.0,risk
14,0.1328,0,2,Approval_Rate_Sem2,0.2693,0.6667,risk
14,0.1328,0,3,Application mode,0.2038,9.0,risk
15,0.0059,0,1,Inflation rate,0.2561,0.6,risk
15,0.0059,0,2,Admission grade,0.2555,130.4,risk
15,0.0059,0,3,Unemployment rate,0.2212,11.1,risk
16,0.9977,1,1,Tuition fees up to date,1.3847,0.0,risk
16,0.9977,1,2,Approval_Rate_Sem2,1.1586,0.0,risk
16,0.9977,1,3,Total_Units_Failed,0.735,10.0,risk
17,0.0081,0,1,Age at enrollment,0.2851,26.0,risk
17,0.0081,0,2,Unemployment rate,0.1713,15.5,risk
17,0.0081,0,3,Enrollment_Drop,0.1221,5.0,risk
18,0.2913,0,1,Approval_Rate_Sem2,0.7776,0.3333,risk
18,0.2913,0,2,Father's occupation,0.5395,1.0,risk
18,0.2913,0,3,Approval_Rate_Trend,0.2245,-0.5,risk
19,0.0076,0,1,Admission grade,0.2374,129.1,risk
19,0.0076,0,2,Scholarship holder,0.1333,0.0,risk
19,0.0076,0,3,Unemployment rate,0.1201,15.5,risk
20,0.0767,0,1,Mother's occupation,0.4353,28.0,risk
20,0.0767,0,2,Unemployment rate,0.3156,13.9,risk
20,0.0767,0,3,Previous qualification (grade),0.2311,120.0,risk
21,0.0456,0,1,Approval_Rate_Sem2,0.8157,0.0,risk
21,0.0456,0,2,Curricular units 2nd sem (approved),0.3271,0.0,risk
21,0.0456,0,3,Father's qualification,0.2175,0.0,risk
22,0.0012,0,1,Father's occupation,0.1394,43.0,risk
22,0.0012,0,2,Previous qualification (grade),0.1049,118.0,risk
22,0.0012,0,3,Curricular units 1st sem (evaluations),0.0679,7.0,risk
23,0.0466,0,1,Father's occupation,0.7587,0.0,risk
23,0.0466,0,2,Course,0.2685,15.0,risk
23,0.0466,0,3,Mother's occupation,0.1495,24.0,risk
24,0.0695,0,1,Approval_Rate_Trend,0.3523,-0.3333,risk
24,0.0695,0,2,Course,0.325,14.0,risk
24,0.0695,0,3,Inflation rate,0.266,0.6,risk
